Screen name,text,,,,,,,,,,,,,,Categorize
jamesconnell819,"My next comedy gig is tomorrow at The Guesthouse Southport at 8pm come along and have a laugh #comedy,â€¦ https://t.co/oirFtG1icR",,,,,,,,,,,,,,Personal
MarshallMCFC,@Alex541lfc @SkySportsPL Klopps records in finals is poor though. I think to win the CL Liverpool would have to beaâ€¦ https://t.co/KEZmvSLqYK,,,,,,,,,,,,,,Personal
kilodelta123,"RT @indykaila: Richarlison wants #LFC move. 

#Liverpool donâ€™t want him.",,,,,,,,,,,,,,Personal
agarwalkaus,"RT @StatsBomb: Virgil van Dijk, Liverpool 18-19.

You should be very careful when using stats to evaluate centreb- 

****ING HELL. https://â€¦",,,,,,,,,,,,,,News
mrfaiziliaquat,@SyedHaydar_ @PassToMessi Okay Lets compare then 17th ranked EPL side with Man City and Liverpool ðŸ˜‚ðŸ˜‚ðŸ˜‚,,,,,,,,,,,,,,Personal
Adegucci,RT @FootballVines: When Liverpool and city fighting for the title while the rest of top 6 side fight for last 2 champion league places ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚â€¦,,,,,,,,,,,,,,Personal
Hibbinho,RT @EvertonBlueArmy: Everton officials have laughed off reports that Everton could potentially sell Richarlison to Liverpool. The club do nâ€¦,,,,,,,,,,,,,,News
SimianJustice,"RT @StatsBomb: Virgil van Dijk, Liverpool 18-19.

You should be very careful when using stats to evaluate centreb- 

****ING HELL. https://â€¦",,,,,,,,,,,,,,News
jaycooper2311,RT @steburke11: Honest to fucking god if you grew up in 80's Liverpool and watched your mam and dad struggle under the managed decline of tâ€¦,,,,,,,,,,,,,,Personal
Insane__Leroy,"RT @colgcra: didn't realize Liverpool play tomorrow night, can't wait for Southampton to be two minutes from a hard earned draw only for Anâ€¦",,,,,,,,,,,,,,Personal
mikebutty1,"@paulRwarren mate are you attending any signings soon around the north west ,Liverpool Manchester Wigan etc I wanteâ€¦ https://t.co/rZSDUXEXsD",,,,,,,,,,,,,,Personal
ahwesty,"RT @jacobavfc_: with the fa cup semi finals coming up, i thought it would be a good time to remember when 19 year old jack grealish ran livâ€¦",,,,,,,,,,,,,,Personal
MartinJBean,RT @steburke11: Honest to fucking god if you grew up in 80's Liverpool and watched your mam and dad struggle under the managed decline of tâ€¦,,,,,,,,,,,,,,Personal
WhereAreAliens,"RT @multistagecorre: United Kingdom Liverpool 2019-03-10 case:https://t.co/SFU6VNMc5Q 
#UFO #UFOs #aliens #OVNI #ufo ðŸ›¸ ðŸ‘½ ðŸš€
via multistagecoâ€¦",,,,,,,,,,,,,,News
dl_reeves,Just read one of my poems this evening at an open mic night in Liverpool. Back on it now after a long break. Yay! Iâ€¦ https://t.co/UNgXPg1RsI,,,,,,,,,,,,,,Personal
WiredCeo,"RT @JCPinMerseyside: Latest Jobs including Administration and Information Officer @WiredCeo in #Liverpool and #Huyton

See: https://t.co/hFâ€¦",,,,,,,,,,,,,,News
EFCBlue1878,Is Nigeria North or South Liverpool? Seriously bad our 'local' newspaper. https://t.co/v7kLp49tjr,,,,,,,,,,,,,,News
johnevans1958,Liverpool Echo writes open letter about Daily Mail's 'agenda' of covering women at the races https://t.co/S4lIk9UurL,,,,,,,,,,,,,,News
zachperkins01,"RT @HenryJackson87: Liverpool's points after 32 matches in the last 5 seasons:

2014/15: 57
2015/16: 51
2016/17: 63
2017/18: 66
2018/19: 79â€¦",,,,,,,,,,,,,,News
christophbowman,@LiverpoolParish @Liverpool_ONE @GaskellsWasteNW @PeterMooreLFC @LFC @MerPolChiefCon @MerseyPolice @LivUni Sorry noâ€¦ https://t.co/7HVTopyZ8Q,,,,,,,,,,,,,,Personal
pravinbale,"After Spurs Liverpool game, I am convinced Van Dijk is the best CB in the league right now. Even one of the best in the world.",,,,,,,,,,,,,,Personal
DannyBraggg,"RT @LivEchoEFC: No chance ðŸ¤£

https://t.co/l7K2ZNtifR",,,,,,,,,,,,,,Personal
FoaryoN,"RT @DaveOCKOP: Hugo three points for Liverpool. Lucky to take anything from it, Spurs were dangerous. To win titles you have to be able toâ€¦",,,,,,,,,,,,,,Personal
60MPoundReject,"RT @City_Xtra: ðŸŸ Percentage Full | Top 4ï¸âƒ£ teams in Europeâ€™s Top 5ï¸âƒ£ Leagues:

ðŸ‡©ðŸ‡ª Bayern Munich | 100%
ðŸ´ó §ó ¢ó ¥ó ®ó §ó ¿ Arsenal | 99.4%
ðŸ‡©ðŸ‡ª Dortmundâ€¦",,,,,,,,,,,,,,News
Ben_Taylorson,RT @steburke11: Honest to fucking god if you grew up in 80's Liverpool and watched your mam and dad struggle under the managed decline of tâ€¦,,,,,,,,,,,,,,Personal
Evolved_ZA,@thisisanfield @HenryJackson87 @RichardBrer I feel the same way about our players who leave. Tho players leaving Saâ€¦ https://t.co/QI0EXhiYwl,,,,,,,,,,,,,,Personal
james_khonkaen,"RT @SkySportsPL: Have Liverpool got a better chance of winning the Premier League or the Champions League? 

Watch #TheDebate live now on Sâ€¦",,,,,,,,,,,,,,News
efya_estee,"@InfinixGhana LIVERPOOL 3-2 TOTTENHAM
#InfinixPredictAndWin",,,,,,,,,,,,,,Personal
riri_andriani,"RT @SpursOfficial: First-team football is back! ðŸ‘Š

ðŸ†š @LFC
ðŸŸï¸ Anfield
ðŸ† @premierleague
â±ï¸ 4.30pm (UK) 

#PL âšªï¸ #COYS https://t.co/XbbZNi9OEe",,,,,,,,,,,,,,News
_canbaris,@demarkesports @Liverpoolkolik #Probably liverpool: 1 tottenham: 0,,,,,,,,,,,,,,Personal
vanMubsyn,"This same Berbatov played with Rooney, Ronaldo, and Tevez and he is saying we have everything we need.",,,,,,,,,,,,,,Personal
Arnaud88380948,RT @willianborges88: Here we go! ðŸ’ªðŸ¿ðŸ’™ #cfc #premierleague #W22 #comeonchelsea https://t.co/v47ZZAnCXf,,,,,,,,,,,,,,News
HenryWilliam27,Chelsea fans do for Hazard what some of our fans are doing for Pogba.We win because of Pogba and Pogba plays superbâ€¦ https://t.co/3UcsPLkGZ6,,,,,,,,,,,,,,Personal
TheSoullessx,@demarkesports @Liverpoolkolik #Probably Liverpool 2-2 Tottenham,,,,,,,,,,,,,,Personal
cfc_tw,RT @OlIyCFC: How is he being blamed before theyâ€™ve even arrived at the stadium loool this is next gen stuff https://t.co/5E0S1kfz8i,,,,,,,,,,,,,,Personal
capt_skurey,"RT @Arsenal: Arsenal x @TIDAL

Playing in front of crowds ðŸŸï¸
Performing under pressure ðŸ’ª
Inspirations âœ¨

@Ains_7, @alexiwobi and @EddieNketâ€¦",,,,,,,,,,,,,,News
jatin672,"RT @_AdamKeys: Gabriel Martinelli seems to be one hell of a prospect. If Arsenal has really beaten off 25 clubs to sign him, thatâ€™s one helâ€¦",,,,,,,,,,,,,,Personal
P60158119,"RT @gavinesler: Esther McVey claims poor families ""prioritise new phones over food"" https://t.co/Gxi55op0vQ",,,,,,,,,,,,,,Personal
zahidsalazar,"Do I want Liverpool to beat Tottenham, so United can stay even on points, or do I want Tottenham to beat Liverpool,â€¦ https://t.co/mhL7EpQ9vB",,,,,,,,,,,,,,Personal
Luvuga,The level of hate between @Arsenal  and @ManUtd fans on these KOT streets is hilarious ðŸ˜‚ðŸ˜‚ðŸ˜‚,,,,,,,,,,,,,,Personal
DanoM7,Today's the day Salah hits form again #LFC,,,,,,,,,,,,,,Personal
aonurduruk,@demarkesports @Liverpoolkolik #Probably Liverpool 3 - 2 Tottenham,,,,,,,,,,,,,,Personal
Jay_CFC84,"RT @Dillon_Boxing: Woke up to 200 more followers, love my club ðŸ‘ŠðŸ» #CFC #KTBFFH https://t.co/dpI9c9P1rY",,,,,,,,,,,,,,Personal
LathamGaffney,"I wouldnâ€™t say a must win. Plenty of games left. We still have to play Burnley, thatâ€™s a must win. And their last 4â€¦ https://t.co/2kh5Y37vXQ",,,,,,,,,,,,,,Personal
_BenMUFC,2-1 Liverpool,,,,,,,,,,,,,,Score
AleashaChaunte,@mogster Thank Esther Wilson and Dr Sarah Black. I don't know their twitter handles. They are making a brilliant prâ€¦ https://t.co/Oo6HbsWJpl,,,,,,,,,,,,,,Personal
jayisdaman,@ErhanLFC83 @AnfieldHQ @KopiteD He wants to leave. He has had racist abuse in italy &amp; they won't stsnd in his way.â€¦ https://t.co/ScNR1kVYka,,,,,,,,,,,,,,Personal
gary_rushby,@ManUtdIrishReds @ManUtd Some task in getting the above done though?,,,,,,,,,,,,,,Personal
InatteamRedawn,"@TheAnfieldWrap for ALL REdNET friends (500,000?) linked worldwide
European REd Supporters ""REdS abroad""
@â€¦ https://t.co/ZtjKWoz34n",,,,,,,,,,,,,,Personal
anoopsreedharz,RT @anoopsreedharz: @AaluAalzz @RinuBabuM @brfootball @premierleague @MoSalah @aguerosergiokun @ManCity @LFC ahahaha tholkanum vidulla jayiâ€¦,,,,,,,,,,,,,,Personal
rick7grimes,@demarkesports @Liverpoolkolik #Probably Liverpool 2-0 Tottenham,,,,,,,,,,,,,,Personal
tinotendarusemw,"RT @premierleague: Right foot. Header. Left foot.

@PeterCrouch's perfect hat-trick for @LFC saw off Arsenal #OnThisDay in 2007 https://t.câ€¦",,,,,,,,,,,,,,News
PabloVitalis,"Next sesson @ManUtd playing style has to be better, we have be shit too many times this season.",,,,,,,,,,,,,,Personal
LFCFanNews_,"RT @HomebakedA: Itâ€™s a big Match Day &amp; we are open from 9am for breakfast butties, with Match Menu from midday. We are taking donations forâ€¦",,,,,,,,,,,,,,Personal
LFCFanNews_,RT @paddysatch: Finally #MatchDay #COYR #LFC #YNWA #UpTheMightyReds âš½ï¸ðŸ”´ https://t.co/t1mk2DqfVR,,,,,,,,,,,,,,Personal
EntityStarsYT,"RT @playmaker_EN: ðŸšŒ Most AWAY league points won (2018/19; top 4 tiers)
4âƒ£0âƒ£: ðŸ’¥NORWICHðŸ’¥
3âƒ£9âƒ£: Lincoln
3âƒ£8âƒ£: Portsmouth
3âƒ£6âƒ£: West Brom, Lutoâ€¦",,,,,,,,,,,,,,News
18jc_,"April 2019:

Liverpool vs Chelsea
Man Utd vs Chelsea
Man Utd vs Man City
UEFA Champions League
FA Cup Semi-Finals
Aâ€¦ https://t.co/Df1tuo5uZc",,,,,,,,,,,,,,News
VengadorNow,"RT @LivEchoLFC: It has served Klopp, Michael Edwards and Liverpool well in recent years ðŸ‘‡ 
https://t.co/5dqBAD5enO",,,,,,,,,,,,,,News
cityzentastic,"RT @colgcra: didn't realize Liverpool play tomorrow night, can't wait for Southampton to be two minutes from a hard earned draw only for Anâ€¦",,,,,,,,,,,,,,Personal
em_sandy,"RT @StatsBomb: Virgil van Dijk, Liverpool 18-19.

You should be very careful when using stats to evaluate centreb- 

****ING HELL. https://â€¦",,,,,,,,,,,,,,Personal
standup_club,Next gig is tomorrow at The Guesthouse Southport 8pm. Come along and support live comedy. 3 comics one mic. #comedyâ€¦ https://t.co/YRhXZrtN2E,,,,,,,,,,,,,,Personal
Sibeliasa,@JoelHarperJacks @KinkyBootsUK @lane_paula @joshuastclair93 @AndyWatkins38 @LiverpoolEmpire @Fred_Smileyâ€¦ https://t.co/oOPVcpvwMM,,,,,,,,,,,,,,Personal
GBOR11879,@SayNoMore33 Forget ur big 150 million marquee signings and start targeting the talent there is in premier league!â€¦ https://t.co/faGEhpBIYC,,,,,,,,,,,,,,Personal
juniorjones360,"RT @Brian_Lion_Rose: Iâ€™ll get the job done on the 19th April in Liverpool. Then Iâ€™m hoping @Scottfitz91 and @EddieHearn give Preston, Bpoolâ€¦",,,,,,,,,,,,,,Personal
cenochukwu,"It's really funny how under the radar he is, dude been balling out in his position and he is young, he is good enouâ€¦ https://t.co/InBlm7nt0m",,,,,,,,,,,,,,Personal
ANDYMOYO,"RT @FootyHumour: Ryan Shawcross when asked one of the greatest moments of his career:

""Stoke City 6-1 Liverpool. We were 5 up at half-timeâ€¦",,,,,,,,,,,,,,Personal
GideonA_,Jurgen Klopp pinpoints secret of stingy defence driving Liverpool's title bid https://t.co/baPsJ597Re,,,,,,,,,,,,,,News
_belikelance,"RT @FootyAccums: Last season, over Â£260m was paid to agents in the Premier League. The highest paying clubs being:

Liverpool - Â£43.7m
Chelâ€¦",,,,,,,,,,,,,,News
chrisbowerbank,"RT @ATPradio: Liverpool may have bagged a memorable win, but unfortunately, the everlasting image from that game will be their mud butt-havâ€¦",,,,,,,,,,,,,,News
NetworkofnewsUK,Manchester City restored their one-point lead over Liverpool at the top of the Premier League with a convincing 2-0â€¦ https://t.co/vnkCIx1K01,,,,,,,,,,,,,,News
AndyBeattie13,"RT @KevinHall1169: ðŸ˜®ðŸ˜ 8 little ducklings on the lake in Walton hall park liverpool, all doing well and mum looking after them @BBCSpringwatâ€¦",,,,,,,,,,,,,,Personal
foothlines,Jurgen Klopp pinpoints secret of stingy defence driving Liverpool's title bid https://t.co/AsUHrUOPgF,,,,,,,,,,,,,,News
lfcmxtty,@rain_phil @jensonj671 @JudeHudson18 @ManCityGM @PrimeSxne Cause Liverpoolâ€™s a bigger club,,,,,,,,,,,,,,Personal
WeetabixA,RT @CitySection: Liverpool fans sat here taking the piss out of a â€œsmall clubâ€ for getting to two finals their â€œhuge clubâ€ couldnâ€™t get neaâ€¦,,,,,,,,,,,,,,Personal
HarwoodAliArt,"Thank you for the invitation! 
#artist #poet #writer #teacher #Liverpool #liverbird #merseyside #uk",,,,,,,,,,,,,,Personal
Gardeno02866389,"RT @AgentFraudy: Number of fans attending Cup matches at Wembley in the last 12 months: 

Manchester City: 110,000
Liverpool: 0",,,,,,,,,,,,,,News
AndyWatkins38,RT @JoelHarperJacks: Liverpool you were bloody glorious today! Thank you ðŸ™ðŸ¼ #KinkyBootsTour https://t.co/zYhG8vy844,,,,,,,,,,,,,,Personal
RequestABet,"@KnockerDP Your #RequestABet for Mane to score, van Dijk to score a header and Liverpool 2-0 is now available on siâ€¦ https://t.co/UNLVukA3bA",,,,,,,,,,,,,,Personal
footycor,"Liverpool have the Premier League's meanest defence, conceding half as many goals as they did a season ago https://t.co/30wjQXHVAr",,,,,,,,,,,,,,Personal
panand363,RT @nmpi_digital: â€œA data led strategy should never come at the expense of your creativesâ€ - Anna Jorysz on her (award-winning) strategy foâ€¦,,,,,,,,,,,,,,Personal
briggs999,@Holly68Paul @_VicarageRoad_ @stu_levy1 We should of got free tickets after doing Cardiff and Liverpool away withinâ€¦ https://t.co/IP1nSmDr40,,,,,,,,,,,,,,Personal
Rudysullivan,"RT @NoahTomkins: Any spare tickets for Liverpool v Porto, looking for one, pls retweet and message me. Thank you ðŸ‘ŠðŸ”´ @spion1906kop @GraemeKeâ€¦",,,,,,,,,,,,,,Personal
CIinicalSaIah,RT @JakeFutboI: Gonna tweet #CoutBack everyday until he re signs for Liverpool,,,,,,,,,,,,,,Personal
shahanchowdhury,"RT @EntireDesign_: From a Liverpool fan point of view, being 4-0 up against Arsenal in 20 minutes in 2014. https://t.co/qcKzZExlsQ",,,,,,,,,,,,,,Personal
DavidKnapkin,"Sick of checking twitter and seeing nothing but football because one mong (Elliott Harvey, Mayan artifact) does notâ€¦ https://t.co/HW7fioBsAJ",,,,,,,,,,,,,,Personal
jay_salsa,"RT @scottishwormboy: Research fellowship available in Evolution, Ecology or Behaviour  @livuniIIB UoLiverpool. Come join a vibrant departmeâ€¦",,,,,,,,,,,,,,News
Tarqsteed,"RT @jon_newsome: @AlanBiggs1 As an apprentice, we were literally in the middle of it all Alan...not something that you broadcast but its diâ€¦",,,,,,,,,,,,,,Personal
firkins11,"RT @jacobavfc_: with the fa cup semi finals coming up, i thought it would be a good time to remember when 19 year old jack grealish ran livâ€¦",,,,,,,,,,,,,,Personal
Geoff_Anfield,@markgoldbridge Would you be happy if Liverpool wins the EPL ?,,,,,,,,,,,,,,Personal
EireScouse27,"RT @EnRouteAnfield: Twitter puts Salah as their header. 

Other clubs copy our songs and names given to players. 

Man City fans sing aboutâ€¦",,,,,,,,,,,,,,News
LFCHalifax,Some pre-match reading! See you tomorrow at Nelly's!! https://t.co/ifT8mzYlrC,,,,,,,,,,,,,,Personal
chezlefevre,"RT @HenryJackson87: Liverpool's points after 32 matches in the last 5 seasons:

2014/15: 57
2015/16: 51
2016/17: 63
2017/18: 66
2018/19: 79â€¦",,,,,,,,,,,,,,News
MohamedSufi24,RT @LFCTransferRoom: JÃ¼rgen Klopp has met with Richarlisonâ€™s agent Renato Velasco recently. The Liverpool Manager is a big fan of the Braziâ€¦,,,,,,,,,,,,,,News
AndyB2708,"@Manchesterspeak I'm a Liverpool fan, but if you can't see the progress there, you are delusional.",,,,,,,,,,,,,,Personal
RealFalseNine,RT @CitySection: Iâ€™m seeing so many Liverpool fans saying we donâ€™t deserve to win the league because of empty seats. Do you forget your cluâ€¦,,,,,,,,,,,,,,Personal
vivast_pauli,"RT @StatsBomb: Virgil van Dijk, Liverpool 18-19.

You should be very careful when using stats to evaluate centreb- 

****ING HELL. https://â€¦",,,,,,,,,,,,,,Personal
jimmymcbride1,"Man Utd v Liverpool 1979 semi final replay at Goodison Park .. Loved the kit, loved the goal, loved the FA Cup butâ€¦ https://t.co/k4u72TYy9N",,,,,,,,,,,,,,Personal
