lang,name,place,retweet_count,screen_name,text,,,,,,,,,,,,,,Categorize
en,muhammad sulaiman umar,,0,muhamma61780295,"@NFFCshow Liverpool 3-2 Spurs 
#NFFCShow",,,,,,,,,,,,,,Score
en,Alex,,0,alexandrejevic,Predictions for Liverpool-Tottenham?,,,,,,,,,,,,,,Personal
en,Robbo,,0,RobV96,@broney13 @Gerryonimooooo Come to Liverpool for a jar soon pal,,,,,,,,,,,,,,Personal
en,Ahmed bala,,0,balabele02,"@NFFCshow Liverpool 1-2 Spurs 
#NFFCShow",,,,,,,,,,,,,,Score
en,Paul Hughes,,0,Yosserlfc2011,â¦@LFCâ© v Tottenham fixture dedicated to â¦@kickitoutâ©  https://t.co/wx3DlDdZVI,,,,,,,,,,,,,,News
en,Jean Paul Russell Ø±Ø³Ù„,,0,Bertrand_Hussel,"RT @aju000: @madhukishwar Wow!! I dint know that if my name is ""Arjun"", then I am supposed to eat paneer while cheering for Chelsea... ðŸ˜‚ðŸ¤£â€¦",,,,,,,,,,,,,,Personal
en,Obiora Mc,,0,obiwonMUFC,@CallMeGozie @iam_wilsons @ManUtd Who invited Arsenal here,,,,,,,,,,,,,,Personal
en,Ali,,0,Ali_H_Smile,"RT @thatkeith: This is someone who would be Tory leader. â€˜Nasty Partyâ€™ pretty much encompasses the whole @Conservatives ethos, ideology andâ€¦",,,,,,,,,,,,,,Personal
und,Brian Nelâ„¢,,0,nel17brian,"@LFC 4-0 @SpursOfficial 
#LIVTOT",,,,,,,,,,,,,,Score
en,Football News 24,,0,Footballnews090,"Inter Milan confident keeping Skriniar away from Man Utd, Liverpool with newÂ offer https://t.co/lKEzihY8Md https://t.co/kkWMN71HRE",,,,,,,,,,,,,,News
ml,MediaOne TV,,0,MediaOneTVLive,â€˜à´Žà´¨àµà´¤àµà´•àµŠà´£àµà´Ÿà´¾à´£àµ à´²à´¿à´µàµ¼à´ªàµ‚àµ¾ à´†à´°à´¾à´§à´•àµ¼ à´¸à´²à´¾à´¹à´¿à´¨àµà´±àµ† à´•à´¾à´°àµà´¯à´¤àµà´¤à´¿àµ½ à´‡à´™àµà´™à´¨àµ† à´…à´¸àµà´µà´¸àµà´¥à´°à´¾à´•àµà´¨àµà´¨à´¤àµ?â€™ ...#MoSalah #Liverpool #PremierLeagueâ€¦ https://t.co/A0LJcgkj6D,,,,,,,,,,,,,,NonEnglish
fr,N.A.Z.A ðŸƒðŸ¦‹,,0,IamEmmanuelK,"RT @FCB_NewsFR: AprÃ¨s avoir prolongÃ© Jordi Alba il y a quelques semaines, le BarÃ§a continue de travailler sur la recherche de sa doublure.â€¦",,,,,,,,,,,,,,NonEnglish
en,Batu,,0,batuhantogay,@demarkesports @Liverpoolkolik #Probably liverpool : 0 tottenham : 0,,,,,,,,,,,,,,Personal
en,Chelsea Footybot,,0,cfcbot,Gonzalo Higuain admits #Chelsea #cfc @chelseafc struggles https://t.co/IUr6wuWuWt #Higuain #GonzaloHiguain #Sarri #MauricioSarri,,,,,,,,,,,,,,News
es,PipoMUFC,,0,PipoMUFC,RT @PipoMUFC: La evoluciÃ³n de Luke #Shaw este aÃ±o ha sido espectacular. El pase de gol que le ha dado a #Rashford...increÃ­ble. Lateral paraâ€¦,,,,,,,,,,,,,,NonEnglish
en,britney,,0,aich212,hold bae like rashford holds martial â™¥ï¸,,,,,,,,,,,,,,Personal
en,karahanlÄ±,,0,iambugrakarahan,@demarkesports @Liverpoolkolik Liverpool 7 - 1 Tottenham,,,,,,,,,,,,,,Personal
in,arfandry,,0,arfandry,"ï¼ info My new fav tweet: Santai Liverpool, Tottenham Sebenarnya Tak Bertaji https://t.co/2nZKl2KuJH #AUTOTWEET",,,,,,,,,,,,,,NonEnglish
en,Ed,,0,slnged,The latest The Liverpool F.C. Daily! https://t.co/aOwMQwfpd0 Thanks to @psPerfectStorm #lfc #liverpool,,,,,,,,,,,,,,News
en,mancunian gaz,,0,mancuniangaz,@ManUtdIrishReds @ManUtd Sanchez 30m haha heâ€™s on 350-400k a week his wage alone is a problem for clubs even half oâ€¦ https://t.co/eUExu66SUr,,,,,,,,,,,,,,Personal
pt,Minhas Verdades,,0,Verdades_br_,"RT @folha: Com um papel, Trump pediu a Kim para abrir mÃ£o de todo o seu arsenal nuclear, diz agÃªncia https://t.co/yecUBWb83B",,,,,,,,,,,,,,NonEnglish
th,sbobetthai,,0,sbobetthai2,"RT @SFifa55: à¸ªà¸” à¸¥à¸´à¹€à¸§à¸­à¸£à¹Œà¸žà¸¹à¸¥ vs à¸ªà¹€à¸›à¸­à¸£à¹Œà¸ª 
-----
à¹‚à¸›à¸£à¹‚à¸¡à¸Šà¸±à¸™à¹ƒà¸«à¸¡à¹ˆà¸ªà¸”à¹†à¸£à¹‰à¸­à¸™à¹† à¸ªà¸¡à¸±à¸„à¸£à¹ƒà¸«à¸¡à¹ˆà¸£à¸±à¸šà¸Ÿà¸£à¸µà¹‚à¸šà¸™à¸±à¸ªà¹€à¸„à¸£à¸”à¸´à¸• à¸ªà¸¹à¸‡à¸ªà¸¸à¸”à¸–à¸¶à¸‡ 1000 à¸šà¸²à¸—
à¸ªà¸™à¹ƒà¸ˆà¸•à¸´à¸”à¸•à¹ˆà¸­à¸—à¸²à¸‡ LINE : @ BET3â€¦",,,,,,,,,,,,,,NonEnglish
en,NANA AGYEMANG,,0,naagyeman6,RT @TheSunFootball: Married Sol Campbell caught leaving 'hot' fire emoji on racy snap of under-18 model https://t.co/BOHOUoC7zY https://t.câ€¦,,,,,,,,,,,,,,News
en,OlaitanJr,,0,Adeleyedimeji,@venusakingba @CallMeGozie @ManUtd That his opinion @venusakingba  he might flop though coz dave is not doing well for Spain team ðŸš¶ðŸ½â€â™‚ï¸ðŸš¶ðŸ½â€â™‚ï¸,,,,,,,,,,,,,,Personal
en,GARY STEERS,,0,GONZOGAZ,RT @jcw_72: Sacralising ðŸºðŸ‘€ https://t.co/80Z6wqXDdU,,,,,,,,,,,,,,News
und,jokerz,,0,jimyslayerz,RT @AnthonyMartial: 2-1 ðŸ‘ŠðŸ¼ @ManUtd #MUFC https://t.co/j3QY8yB6F0,,,,,,,,,,,,,,Score
ar,Ù…Ø­Ù…Ø¯ Ø¹Ù„ÙŠ Ø¹ÙƒØ§Ø´Ø©,,0,apoali72,"RT @MUFC_NET: Ø¯ÙˆÙ…ÙŠÙ†ÙŠÙƒ Ù…Ø§ØªÙŠÙˆ Ø¹Ù† Ø¨ÙˆØ¬Ø¨Ø§ :""Ù…Ø³ØªÙˆÙ‰ ""Ø¨ÙˆØ¬Ø¨Ø§"" ØºÙŠØ± Ø«Ø§Ø¨Øª Ø£Ø¨Ø¯Ø§Ù‹ ØŒ ÙˆÙ…Ù† Ø§Ù„Ù…ÙØªØ±Ø¶ Ø£Ù† ÙŠÙ‚Ø¯Ù… Ø£ÙØ¶Ù„ Ù…Ù† Ù‡Ø°Ø§ Ø§Ù„Ù…Ø³ØªÙˆÙ‰ Ø¹Ù„Ù‰ Ø§Ù„Ø£Ù…ÙˆØ§Ù„ Ø§Ù„ØªÙŠ ÙŠØªÙ‚Ø§Ø¶Ø§Ù‡Ø§.
#Mâ€¦",,,,,,,,,,,,,,NonEnglish
en,Dan Williamson,,0,DanWilliamson88,@ManUtdIrishReds @ManUtd Optimistic on some of the prices of incoming players.,,,,,,,,,,,,,,Personal
en,Hydrophilia,,0,lacutelavaq,@Ba_Shirley1 @Mavhure @Kandros_Mugabe @bbmhlanga @bustoptv @zimleague @nickmangwana @acielumumba @VoiceOfZimâ€¦ https://t.co/MqQr4n1MIt,,,,,,,,,,,,,,Personal
en,liverpool fc(Ghana),,0,Cantona37107445,come on boys +3 points @LFC,,,,,,,,,,,,,,Personal
en,BatÄ±,,0,xxBati,@demarkesports @Liverpoolkolik #Probably Liverpool 0-2 Tottenham,,,,,,,,,,,,,,Personal
en,esadakmann,,0,keyysersoze,@demarkesports @Liverpoolkolik #Probably Liverpool 3-1 Tottenham,,,,,,,,,,,,,,Personal
en,Umut,,0,umut_ydn,@demarkesports @Liverpoolkolik #Probably Liverpool 2-2 Tottenham,,,,,,,,,,,,,,Personal
en,maste ba,,0,kofy_gha,"@InfinixGhana LIVERPOOL 4-1 TOTTENHAM
#InfinixPredictAndWin",,,,,,,,,,,,,,Personal
en,WashYourMouth,,0,washyourmouth1,RT @UnaiEmery_: I am proud to be a member of the @Arsenal family that welcomes everybody and brings people together through respect and a lâ€¦,,,,,,,,,,,,,,News
en,City,,0,PasDeRemede,RT @KamMistry1972: @SpursOfficial @LFC @premierleague COYS! Let's stop LFC from winning the title!,,,,,,,,,,,,,,Personal
ar,El Bashayer,,0,elbashayer,"RT @elbashayer2: Ø¨Ù‚ÙŠØ§Ø¯Ø© ØµÙ„Ø§Ø­ - ØªÙˆØªÙ†Ù‡Ø§Ù… Ø¶ÙŠÙØ§Ù‹ Ø«Ù‚ÙŠÙ„Ø§Ù‹ Ø¹Ù„Ù‰ Ù„ÙŠÙØ±Ø¨ÙˆÙ„ Ø¨Ø§Ù„Ø¯ÙˆØ±ÙŠ Ø§Ù„Ø¥Ù†Ø¬Ù„ÙŠØ²ÙŠ

@MoSalah @LFC @SpursOfficial 

https://t.co/fYk2YReJ0q",,,,,,,,,,,,,,NonEnglish
en,DÃ¡ire,,0,Dairelli,@premierleague @petercrouch @LFC @PatrickMulgrew2 @ConorDevlin7 good touch for a big man,,,,,,,,,,,,,,Personal
en,Wandile Zondo,,0,T_Wandile,"RT @LondonGoona: Peak Koscielny was immense, even now shows rare levels of commitment. He will never get the recognition he deserves by mosâ€¦",,,,,,,,,,,,,,Personal
en,Rowetta ðŸŽ¤,,0,Rowetta,Really looking forward to seeing my favourites tonight!,,,,,,,,,,,,,,Personal
en,WIRIAHARDJA,,0,akbaryayans,"RT @ChelseaFC: Happy #MothersDay, Chelsea fans! ðŸ’ https://t.co/u2njKLAaFi",,,,,,,,,,,,,,News
cy,Owain Llyr,,0,owsllyr,"Cymylau du yn hofran.....

Canlyniadau heb fynd o blaid #Caerdydd ddoe

5ï¸âƒ£ pwynt o ddiogelwch bellach

Sa nhw gallâ€¦ https://t.co/PN9vlFsQIu",,,,,,,,,,,,,,NonEnglish
fr,GravelinesGagnant,,0,Gravelines2014,AssemblÃ©e GÃ©nÃ©rale de lâ€™Arrondissement  de Dunkerque des Combattants dâ€™AlgÃ©rie - Tunisie - Maroc ( CATM) ce matin Ã â€¦ https://t.co/YVFcIjrYo9,,,,,,,,,,,,,,NonEnglish
en,ã‚¤ãƒã‚¹,,0,InsMdn,RT @leb_piedpiper: Chelsea fans destroy a cafe because the owner is Muslim https://t.co/pbt24muwrd,,,,,,,,,,,,,,News
en,Chima Chigozie,,0,CallMeGozie,@Rhorki @venusakingba @ManUtd Cheers.,,,,,,,,,,,,,,Personal
und,Brad,,0,swedishsaviour,RT @AnthonyMartial: 2-1 ðŸ‘ŠðŸ¼ @ManUtd #MUFC https://t.co/j3QY8yB6F0,,,,,,,,,,,,,,Score
en,GARY STEERS,,0,GONZOGAZ,"RT @RadioNewsDigger: At least Kash Ali got a drink to wash his in bout meal down with. 

Thoroughly deserved soaking from the Liverpool croâ€¦",,,,,,,,,,,,,,News
en,Arif Kaan,,0,aktbey,@demarkesports @Liverpoolkolik #Probably Liverpool 3:1 Tottenham,,,,,,,,,,,,,,Personal
en,Brian Nandwa Omamo,,0,brianinho,"@_lovewitch Arsenal fan, reveal urself please!",,,,,,,,,,,,,,Personal
en,Fizza,,0,FizzieLou,"RT @PeterStefanovi2: It would be difficult, in the wildest of imaginations,to dream up a more incomprehensibly reprehensible,detached fromâ€¦",,,,,,,,,,,,,,Personal
en,yavuz,,0,yavuzkahr1man,@demarkesports @Liverpoolkolik #Probably Liverpool 1-1 Tottenham,,,,,,,,,,,,,,Personal
tr,MediaSportsTr,,0,MediaSportsTr,BÄ°LGÄ° - Avrupa'nÄ±n bugÃ¼n yaz saatine geÃ§mesiyle liglerdeki maÃ§lar TSÄ° 1 saat erkene dÃ¶ndÃ¼. GÃ¼nÃ¼n kaÃ§mamasÄ± gerekenâ€¦ https://t.co/9Slx6UgNcL,,,,,,,,,,,,,,NonEnglish
en,utind daniel,,0,utindaniel,Nice one bro,,,,,,,,,,,,,,Personal
en,J George Grover,,0,JGeorgeGrover1,@WhirlwindFanIan @jthrfc His tweet was aimed at Jimmy &amp; the ex Liverpool football boss Brendan Rodgers when they haâ€¦ https://t.co/yZbiSGGTfW,,,,,,,,,,,,,,Personal
en,King Kofi ðŸ‡¬ðŸ‡­,,0,cotheartist,"RT @EditinKing: ðŸ¦· Kash Ali had to run out of the M&amp;S Arena, Liverpool, as fans rained down pints on him for biting David Price. #PriceAli hâ€¦",,,,,,,,,,,,,,Personal
en,Stevie Brown Shoes OUT,,0,JoeStephenson96,Is the Old Firm the most entertaining derby in British football? Only Arsenal v Tottenham comes close for me,,,,,,,,,,,,,,Personal
en,Craig ï¸½âœµï¸½  24 days,,0,MarvellousBrie,@nauflualihasan @DrawtyDevil Mediocre ðŸ˜‚. Our past players shit all over this Liverpool side &amp; that's a fact,,,,,,,,,,,,,,Personal
und,ð†âŠ™â˜ˆâ¡eÌ²á¹á¹³êŒ— ð€ð”«ð”²pÌ²aÌ²mÌ²aÌ²,,0,GorgeousAnupama,@RinuBabuM @brfootball @premierleague @MoSalah @aguerosergiokun @ManCity @LFC https://t.co/G6hFnWsqBK,,,,,,,,,,,,,,Personal
en,Christopher O Toole,,0,Chris24OToole,RT @FullTimeDEVILS: Liverpool v Spurs later. A LFC win helps United in our bid to make top four. But it moves them closer to the title... hâ€¦,,,,,,,,,,,,,,Personal
en,KaanKaleli,,0,kaankaleli1,@demarkesports @Liverpoolkolik #Probably Liverpool 3-1 Tottenham,,,,,,,,,,,,,,Personal
fr,ðŸ¯,,0,Westgoat0_,Oh yâ€™a Tottenham-Liverpool aujourdâ€™hui,,,,,,,,,,,,,,NonEnglish
en,@edithyoung ðŸ˜,,0,Mikute777,"RT @bet365: âš½ï¸ 228 goals for Arsenal
âš½ï¸ 228 goals for Man City

ðŸ¤” Who you taking?

RT â€“ Thierry Henry
â¤ï¸ â€“ Sergio AgÃ¼ero https://t.co/rGwm2â€¦",,,,,,,,,,,,,,Personal
en,JanetG,,0,squash60,@RussInCheshire On the other hand shouldnâ€™t you be leading Liverpool out today...?,,,,,,,,,,,,,,Personal
in,Briantama Prajasa,,0,brianprajasa,RT @SiegerAnwalt: coba kalo yang promo golput itu cantik kayak chelsea islan mungkin bakal rada banyak yang ikut. ini yang promo golputnyaâ€¦,,,,,,,,,,,,,,NonEnglish
en,NANA AGYEMANG,,0,naagyeman6,RT @MirrorFootball: Liverpool legend explains why fans shouldn't be worried by Mo Salah's barren run https://t.co/QI6EMV3IWE https://t.co/Zâ€¦,,,,,,,,,,,,,,News
en,Robert Grant,,0,RCSGrant,"RT @SamanthaQuek: Get to the airport in Dubai at 2am &amp; @emirates had over booked my flight and told me I didnâ€™t have a seat ðŸ˜¡

By being a pâ€¦",,,,,,,,,,,,,,Personal
en,sean pearce,,0,seanpearce01,RT @danzed_: @willreyner But the money He has made from sales has allowed for these buys. Liverpool as a club have Done good business imo,,,,,,,,,,,,,,Personal
en,Sky Bet #RequestABet,,0,RequestABet,"@BowyerMat Your #RequestABet for Hazard to score, Chelsea to win by 2+ goals, Hazard &amp; Barkley 2+ shots on target eâ€¦ https://t.co/Qg1zIC5yhW",,,,,,,,,,,,,,Personal
in,arfandry,,0,arfandry,"ï¼ info #Autotweet ~ VIVAbola: Santai Liverpool, Tottenham Sebenarnya Tak Bertaji https://t.co/2nZKl2KuJH https://t.co/3CcUWDpvtB",,,,,,,,,,,,,,NonEnglish
und,john shimmin,,0,JohnShimmin,https://t.co/A2mlFqa7b6,,,,,,,,,,,,,,Personal
en,Jonathan Cowan,,0,DarthBalPayer,"RT @ODDSbible: âš½ï¸ Over 2.5 Goals Treble âš½ï¸ 

ðŸ´ó §ó ¢ó ¥ó ®ó §ó ¿ Cardiff vs Chelsea
ðŸ‡®ðŸ‡¹ Roma vs Napoli
ðŸ‡©ðŸ‡ª Hannover vs Schalke

ðŸ¤‘ Â£20 returns Â£112

ðŸ’· Firâ€¦",,,,,,,,,,,,,,News
en,Obinna,,0,oooOteejay,"RT @Arsenal: Today we're remembering an Arsenal legend

David 'Rocky' Rocastle

#RememberingRocky â¤ï¸ https://t.co/KRC0kY9ZRL",,,,,,,,,,,,,,News
en,henry morgan,,0,magnisuleymn,@demarkesports @Liverpoolkolik #Probably liverpool 2- 0 tottenham,,,,,,,,,,,,,,Personal
en,Sport News One,,0,SportNewsOne1,"Cristiano Ronaldo issues update on injury ... - See Full &gt;&gt; https://t.co/cvMV3U5nCm

#nba #fifa19 #sports #footballâ€¦ https://t.co/cZlMmIenLt",,,,,,,,,,,,,,News
und,KSD,"{'id': '0008cb6457ff0b55', 'url': 'https://api.twitter.com/1.1/geo/id/0008cb6457ff0b55.json', 'place_type': 'city', 'name': 'Port Harcourt', 'full_name': 'Port Harcourt, Nigeria', 'country_code': 'NG', 'country': 'Nigeria', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[6.938066, 4.73377], [6.938066, 4.91549], [7.124485, 4.91549], [7.124485, 4.73377]]]}, 'attributes': {}}",0,KuroDoumu,@ayapereh,,,,,,,,,,,,,,Personal
in,footballisme,,0,footballisme,"Diburu Arsenal dan Liverpool, bek Ajax Matthijs de Ligt mengaku mungkin dia bakal gabung Juventus musim panas nantiâ€¦ https://t.co/wGbbCV063H",,,,,,,,,,,,,,NonEnglish
en,berâ€™kay,,0,muthisolayak,@demarkesports @Liverpoolkolik #Probably Liverpool 2-1 Tottenham,,,,,,,,,,,,,,Personal
en,OfficialVictoria,,0,VProtheroe,"RT @PeterStefanovi2: It would be difficult, in the wildest of imaginations,to dream up a more incomprehensibly reprehensible,detached fromâ€¦",,,,,,,,,,,,,,Personal
en,Emma Fletcher,,0,emskifletcher,"RT @Chris78Fletcher: I will be playing at The Liverpool Arms in Chester today at 5PM
I havenâ€™t played there for 20 years so Itâ€™s about timeâ€¦",,,,,,,,,,,,,,Personal
en,$ammy,,0,KovacsAlfonso,@segzy_dot @Certifiedopeboi Not saying Aguero is better.. talking about their impact in respective teams is more orâ€¦ https://t.co/GiSEfsypsI,,,,,,,,,,,,,,Personal
en,White Terry Crews,,0,jorpow22,Rangers sunlun and Liverpool what a day,,,,,,,,,,,,,,Personal
en,April's 15th ManâœŒï¸ðŸ‡¨ðŸ‡²,,0,BerryRichards8,@richbimfly @StanLeeNgole @sirkwame_ @EnyongSidney @ElizaNgufor @lydn_lee @Mafigold @FreshKarim @maureenbesâ€¦ https://t.co/E0CepQJC9U,,,,,,,,,,,,,,Personal
sv,Ludvig Arvidsson,,0,ArvidssonLudvig,"Facit

1. MalmÃ¶
2. HÃ¤cken
3. Peking
4. Gnaget
5. DIF
6. Bajen
7. Ã–stersund
8. Kalmar
9. Elfsborg
10. Giffarna
11. Hâ€¦ https://t.co/F8Uf6demmr",,,,,,,,,,,,,,NonEnglish
in,Pos Kupang Online TRIBUNNEWS,,0,poskupangcom,LAGA CHELSEA MALAM INI PUKUL 20.05 WIB https://t.co/1lrMBp5u1n,,,,,,,,,,,,,,NonEnglish
und,Allison Colins,,0,ColinsAllison,ðŸ˜³,,,,,,,,,,,,,,NonEnglish
th,sboà¹„à¸—à¸¢,,0,sbothai2,"RT @SFifa55: à¸ªà¸” à¸¥à¸´à¹€à¸§à¸­à¸£à¹Œà¸žà¸¹à¸¥ vs à¸ªà¹€à¸›à¸­à¸£à¹Œà¸ª 
-----
à¹‚à¸›à¸£à¹‚à¸¡à¸Šà¸±à¸™à¹ƒà¸«à¸¡à¹ˆà¸ªà¸”à¹†à¸£à¹‰à¸­à¸™à¹† à¸ªà¸¡à¸±à¸„à¸£à¹ƒà¸«à¸¡à¹ˆà¸£à¸±à¸šà¸Ÿà¸£à¸µà¹‚à¸šà¸™à¸±à¸ªà¹€à¸„à¸£à¸”à¸´à¸• à¸ªà¸¹à¸‡à¸ªà¸¸à¸”à¸–à¸¶à¸‡ 1000 à¸šà¸²à¸—
à¸ªà¸™à¹ƒà¸ˆà¸•à¸´à¸”à¸•à¹ˆà¸­à¸—à¸²à¸‡ LINE : @ BET3â€¦",,,,,,,,,,,,,,NonEnglish
en,Fener #Yeniden,,0,vlbngln,@demarkesports @Liverpoolkolik #Probably Liverpool 3 - 2 Tottenham,,,,,,,,,,,,,,Personal
en,âš½Prediction HQ,,0,Predictionhq,"RT @Easybet_Nigeria: More League ActonðŸ’¥Today! âš½ðŸ˜Ž

Liverpool ~ Spurs 
Roma       ~ Napoli 
Sevilla      ~ Valencia 
Toulouse ~ PSG 

Depositâ€¦",,,,,,,,,,,,,,Personal
en,Applepine ðŸ‡¬ðŸ‡§,,0,mrian1969,RT @Ross1872_: Liverpool sung it first you fake cunts,,,,,,,,,,,,,,Personal
en,skeldinho,,0,skeldingalex,Liverpool / spurs today,,,,,,,,,,,,,,Personal
en,Ethan,,0,EthanCOYS,RT @Delecopter_: Why are people acting as if Liverpool are so special and weâ€™re gonna get fucked? We put 6 past them last season and this sâ€¦,,,,,,,,,,,,,,Personal
en,âš¡âœŠðŸ¾,,0,simplyace_100,"RT @Arsenal: Today we're remembering an Arsenal legend

David 'Rocky' Rocastle

#RememberingRocky â¤ï¸ https://t.co/KRC0kY9ZRL",,,,,,,,,,,,,,News
en,Yoga Pratama  LFC,,0,prayogham,"RT @NBFootball: Want to be at Anfield when @LFC take on Spurs this weekend? We've got 2 tickets to give away to the game on Sunday. 

To enâ€¦",,,,,,,,,,,,,,News
fr,Fabien Fougeray,,0,Fab_Fougeray,"@VirgilvDijk sur son parcours de footballeur : ""Je suis content de ma progression. Je reviens de loin, je nâ€™ai pasâ€¦ https://t.co/zxdla4jzVG",,,,,,,,,,,,,,NonEnglish
en,Elif Åžahin,,0,Sahinnneliiif,@demarkesports @Liverpoolkolik #Probably Liverpool 3-2 Tottenham,,,,,,,,,,,,,,Personal
en,Ngolo Hanno,,0,Pako_Pikin,"RT @bricii_: Obviously this is a bin ðŸ—‘ tweet , hazard conquered the league at 20 where Neymar is at his peak. https://t.co/0kyVGnY2Cu",,,,,,,,,,,,,,Personal
en,ismycaptainplaying?,,0,ismyCAPplaying,"Embarrassing this is a debate. Rio elite level for a decade, won everything. VVD is 29 next year and has had 1 yearâ€¦ https://t.co/1GLQzjCpsl",,,,,,,,,,,,,,Personal
en,Pandala.,,0,pandala_t,"RT @premierleague: ðŸ”´ @LFC have lost just one of their last 24 home #PL matches against Spurs 

#LIVTOT https://t.co/LUKah8LXPG",,,,,,,,,,,,,,News
en,emra,,0,tehlikelistoper,@demarkesports @Liverpoolkolik #Probably  3-1 liverpool,,,,,,,,,,,,,,Personal
en,Emre ÅžiÅŸmanoÄŸlu,,0,emre_sismanoglu,@demarkesports @Liverpoolkolik #Probably Liverpool 2 - 0 Tottenham,,,,,,,,,,,,,,Personal
en,Phantaso,,0,GurkanOzaydin,@demarkesports @Liverpoolkolik #Probably  Liverpool-Tottenham 2-2,,,,,,,,,,,,,,Personal
en,Rufaz--Jereraâ¤Kingâ¤,,0,Mavhure,RT @tnashenemakngah: We are putting our rivalry behind us and for the first time am chanting #YNWA https://t.co/qHwNFhQf2d,,,,,,,,,,,,,,Personal
